randomise_trials,display,phase,block,audio,type,fricative,step,percent.SS,talker,familiarization.Name,exposure.Progress,test.Progress1,test.Progress2,dose,bias.Joanne,test.Type,test.Button1,test.Button2,spreadsheet
2,Task-Exposure,Exposure,1,pepepe_s_02_coliseum.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_03_compensate.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_04_democracy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_05_dinosaur.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_06_embassy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_07_episode.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_08_eraser.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_09_hallucinate.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_10_legacy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_11_literacy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_12_medicine.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_13_obscene.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_14_parasite.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_15_peninsula.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_16_personal.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_17_pregnancy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_18_reconcile.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_19_rehearsal.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_20_Tennessee.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_01_ambition.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_02_beneficial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_03_brochure.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_04_commercial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_05_crucial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_06_efficient.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_07_flourishing.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_08_glacier.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_09_graduation.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_10_impatient.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_11_initial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_12_machinery.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_13_negotiate.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_14_official.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_15_parachute.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_16_pediatrician.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_17_publisher.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_18_reassure.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_19_refreshing.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_20_vacation.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_01_ambition.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_02_beneficial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_03_brochure.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_04_commercial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_05_crucial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_06_efficient.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_07_flourishing.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_08_glacier.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_09_graduation.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_10_impatient.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_11_initial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_12_machinery.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_13_negotiate.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_14_official.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_15_parachute.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_16_pediatrician.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_17_publisher.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_18_reassure.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_19_refreshing.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_20_vacation.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_01_Arkansas.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_02_coliseum.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_03_compensate.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_04_democracy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_05_dinosaur.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_06_embassy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_07_episode.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_08_eraser.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_09_hallucinate.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_10_legacy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_11_literacy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_12_medicine.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_13_obscene.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_14_parasite.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_15_peninsula.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_16_personal.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_17_pregnancy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_18_reconcile.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_19_rehearsal.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_20_Tennessee.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_01_Arkansas.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_02_coliseum.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_03_compensate.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_04_democracy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_05_dinosaur.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_06_embassy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_07_episode.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_08_eraser.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_09_hallucinate.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_10_legacy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_11_literacy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_12_medicine.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_13_obscene.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_14_parasite.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_15_peninsula.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_16_personal.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_17_pregnancy.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_18_reconcile.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_19_rehearsal.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_s_20_Tennessee.mp3,Clear,SS,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_01_ambition.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_02_beneficial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_03_brochure.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_04_commercial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_05_crucial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_06_efficient.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_07_flourishing.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_08_glacier.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_09_graduation.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_10_impatient.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_11_initial.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_12_machinery.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_13_negotiate.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_14_official.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_15_parachute.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_16_pediatrician.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_17_publisher.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_18_reassure.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_19_refreshing.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,pepepe_Xsh_20_vacation.mp3,Ambiguous,SH,,,Peter,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_01_ambition.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_02_beneficial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_03_brochure.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_04_commercial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_05_crucial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_06_efficient.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_07_flourishing.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_08_glacier.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_09_graduation.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_10_impatient.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_11_initial.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_12_machinery.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_13_negotiate.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_14_official.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_15_parachute.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_16_pediatrician.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_17_publisher.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_18_reassure.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_19_refreshing.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_sh_20_vacation.mp3,Clear,SH,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_01_Arkansas.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_02_coliseum.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_03_compensate.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_04_democracy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_05_dinosaur.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_06_embassy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_07_episode.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_08_eraser.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_09_hallucinate.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_10_legacy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_11_literacy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_12_medicine.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_13_obscene.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_14_parasite.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_15_peninsula.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_16_personal.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
2,Task-Exposure,Exposure,1,f1f1f1_Xs_17_pregnancy.mp3,Ambiguous,SS,,,Joanne,,1,,,2x,SS,Blocked,ASI,ASHI,1b-005
